host_ts,allocstall_normal,allocstall_movable,pgscan_direct,pgsteal_direct,pgscan_kswapd,pgsteal_kswapd,pgscan_direct_throttle,compact_stall,compact_success,pageoutrun,kswapd_inodesteal
1781502626,0,0,0,0,1145956,797099,0,0,0,58,667
1781502657,31,1461,87110,75221,1650795,1237011,0,204,197,145,2186
