host_ts,Normal_order_0,Normal_order_1,Normal_order_10,Normal_order_2,Normal_order_3,Normal_order_4,Normal_order_5,Normal_order_6,Normal_order_7,Normal_order_8,Normal_order_9
1781502626,5758,8092,0,649,524,232,99,30,23,0,0
1781502631,8431,11095,0,3,1,50,25,15,8,0,0
1781502636,1523,7265,0,46,29,15,9,0,0,0,0
1781502641,12125,15270,0,1,0,0,0,0,0,0,0
1781502646,4972,14413,0,928,256,41,8,0,0,0,0
1781502651,8987,12862,0,1071,178,18,1,1,0,0,0
1781502656,4349,18805,0,22,7,0,0,0,0,0,0
1781502661,12544,17718,0,8,14,0,0,0,0,0,0
