host_ts,Normal_order_0,Normal_order_1,Normal_order_10,Normal_order_2,Normal_order_3,Normal_order_4,Normal_order_5,Normal_order_6,Normal_order_7,Normal_order_8,Normal_order_9
1781512964,3467,10802,0,1517,659,246,231,53,14,2,0
1781512969,13077,18060,0,1618,995,455,287,31,15,2,0
1781512974,7797,11402,0,1051,395,48,6,2,0,0,0
1781512979,5158,10351,0,212,89,24,1,1,0,0,0
1781512984,13985,10512,0,662,459,330,41,11,0,0,0
1781512989,17239,17358,0,9,2,0,0,0,0,0,0
1781512994,5377,17010,0,67,6,1,0,0,0,0,0
1781512999,3461,21376,0,1054,173,65,10,0,1,2,0
1781513004,11284,16387,0,9,3,0,0,0,0,0,0
