alias	serial	local_port	remote_port	termux_user	identity_file	host_key_alias	status	notes
termux-fio-1	UNKNOWN	8022	8022	u0_a290	~/.ssh/termux_fio	termux-fio-1	ssh_verified	seed_from_current_setup_serial_unknown
termux-fio-2	UNKNOWN	8023	8022	UNKNOWN	~/.ssh/termux_fio	termux-fio-2	public_key_pushed	seed_from_current_setup_confirm_user_and_serial
